gene_id,baseMean,LFC_shrunk,lfcSE_shrunk,stat,pvalue,padj,LFC_raw,lfcSE_raw
ENSDARG00000009657,746.4663724798804,-0.04391982045252603,0.07539573831143799,-0.6299639023671106,0.5287182019521208,0.7188939187919697,-0.05548943779883367,0.08808351969109694
ENSDARG00000096156,2.1116726993193016,-0.03770459508411531,0.14601086138918054,-1.1514211647222836,0.24955901081140974,,-1.0515350611962342,0.9132497242656282
ENSDARG00000076160,1.9622486073382397,-0.02756130953059283,0.14462517250539203,-0.9741065900202652,0.33000361777997267,,-0.9935996298153821,1.020011197947764
ENSDARG00000117163,27.504463092889694,0.025960184323278287,0.12409210994094642,0.33172691380887065,0.7400954760931295,0.8625504850864054,0.08561985665816138,0.25810343717691997
ENSDARG00000076014,62.28631122969329,0.20727089267367477,0.1888257515845444,1.859674509794478,0.06293159051370652,0.19502274389458965,0.38112592494262415,0.2049422750784191
ENSDARG00000098876,15.556741411692757,0.04392087384300415,0.13689563693168874,0.6907341049255579,0.48973265263473886,0.6915544837785741,0.26731789915194065,0.3870055021834345
ENSDARG00000103471,31.848680746519925,0.01878350342858255,0.1296806839962977,0.2880281908816401,0.7733251594395036,0.8824165397810106,0.10535480618989916,0.3657794949425377
ENSDARG00000093665,6.844015543707411,-0.0020674800964879227,0.13476900764272876,-0.04529047680432055,0.9638757780600512,,-0.025003941228972523,0.5520794434777784
ENSDARG00000098144,0.9610826619953933,0.01758546520305737,0.1377235009747438,0.7213884791348988,0.4706705329059375,,0.8500199558177182,1.1783109661483318
ENSDARG00000093658,684.8700636684713,0.1367009712032801,0.11577254531441193,1.494574132470451,0.13502562128564263,0.31903225503125315,0.20269884632617788,0.1356231463682083
ENSDARG00000095324,9.902169952701273,0.14586602495343715,0.201702730181035,1.8074999769730293,0.07068435828185374,0.21147040648675133,0.7001877297290169,0.387379108519604
ENSDARG00000098510,5.366057407474873,0.01572126022306457,0.13461912342056867,0.3205411975843071,0.7485581052862145,,0.17085824443214687,0.5330305299904815
ENSDARG00000021336,4.76781840641466,-0.06424074612101355,0.15368112623472727,-1.4402584952367872,0.14979427922471392,,-0.9812663654269882,0.6813126731570932
ENSDARG00000094646,1831.1279860001814,-0.03176173427759361,0.058838952720771956,-0.5626921714399336,0.5736445159779175,0.7536147602204555,-0.03637097374138605,0.06463742626507928
ENSDARG00000021595,1818.8269618931968,-0.3003805493350154,0.10836868569009839,-3.2758789370370818,0.0010533370227369626,0.011561640231221425,-0.3459078472294595,0.10559237806947806
ENSDARG00000096153,2.306452867989206,0.035970208334510055,0.14033615565310567,1.0431090502843203,0.2968977895761318,,0.8537614881011607,0.8184776921151733
ENSDARG00000095200,82.5033801012144,0.8882519367775148,0.27932251569833555,4.070703089526184,4.68714582136589e-05,0.0012532454268021672,1.0197118029881571,0.25050016681684545
ENSDARG00000102062,33.143829782681614,0.056415240607019225,0.136436217805935,0.7698810864988953,0.44137043415604327,0.6530878252760755,0.24080719293303368,0.31278491854907936
ENSDARG00000090116,47.20186443928264,-0.012400371582105168,0.12233719442855455,-0.16003883928840865,0.8728504791784253,0.9372865479231294,-0.04040554569200519,0.2524733737864075
ENSDARG00000102464,270.0550375228881,0.602659453979933,0.24829331813734554,3.416708166362046,0.0006338318510179237,0.008036886225478702,0.73574656943235,0.21533784379827178
ENSDARG00000095149,2.5668179597166603,-0.010795321500695742,0.14152370075057114,-0.4420621495273109,0.6584442332052545,,-0.509230355944371,1.1519429032521378
ENSDARG00000092714,7.318034009919472,0.04319678006824922,0.1397163794096898,0.8394047165310989,0.4012422380358722,0.618852904018802,0.4339410056673834,0.5169627917516072
ENSDARG00000112103,4.4848571274344975,0.02723087852152228,0.13677346396719622,0.8235579673437526,0.4101907672722066,,0.6880512129842753,0.83546178929392
ENSDARG00000045801,749.9399432565538,-0.21362221155642228,0.08217480834553707,-2.915516808641337,0.0035509997852130244,0.027705914140651582,-0.24227762248752543,0.08309937427540658
ENSDARG00000096855,3.978385783950567,0.13306321434090715,0.1996593945928695,2.774152353276696,0.0055345752199987535,,2.224951432860595,0.8020292866152751
ENSDARG00000104074,1.930324981381075,-0.0004907653061808696,0.13721137751056367,0.079862477273869,0.9363466332672663,,0.10813288821027862,1.353988655266266
ENSDARG00000015623,22.95535505450248,0.02175300989536142,0.12248399458608372,0.27337732906293033,0.7845631780604702,0.8889173080389329,0.0675786785031464,0.24719927850194948
ENSDARG00000102559,3.1438220903903873,-0.0029501371794795946,0.137117109908048,-0.08305347605060583,0.9338090187105116,,-0.06300072820806588,0.7585561881802336
ENSDARG00000030694,3615.6254997110223,-0.18057169625692948,0.07290148431855278,-2.7131316012149336,0.006665063141088749,0.04289471886062901,-0.2027165548865657,0.07471681609391514
ENSDARG00000093168,1.205073093133408,-0.013694603502524575,0.14350355881823978,-0.5146318154366192,0.6068103283815546,,-0.52677347547632,1.0235929059873605
ENSDARG00000093983,8.235241020448901,-0.00516940367827608,0.132900257796684,-0.0946175938443689,0.9246185746651427,0.9644803347395211,-0.04232435478526573,0.44732013429640427
ENSDARG00000030598,822.434186602347,0.019636489025119518,0.0650668472450639,0.316566416329739,0.7515726219541942,0.8694255553058785,0.023266600442974586,0.07349674268271036
ENSDARG00000113342,0.6196257332710755,0.02475354241801562,0.12915233593527456,1.5795837510616166,0.11420222282907858,,3.5317809977643435,2.235893472182581
ENSDARG00000097811,0.6505823790062611,0.016179528765792813,0.13700303701480868,0.8028222183877989,0.4220774981865959,,1.1501230082803038,1.4325998732196812
ENSDARG00000116640,0.7522785548318743,-0.0017493400596239055,0.14160901583564928,-0.09133791944022591,0.927224088543399,,-0.13419811487512495,1.4692486504791469
ENSDARG00000113663,0.5147003018216635,-0.004485037547005786,0.15500158084666207,-0.34753688448574666,0.7281880134435372,,-0.7204498951709705,2.0730170733878404
ENSDARG00000101775,7.114177292726455,0.021910525946190126,0.13474001809687539,0.7302743374142531,0.4652225113273277,0.6721634913708614,0.6551558578240665,0.8971366296997849
ENSDARG00000112642,0.9550115871348317,0.011296685173880522,0.13818662846688576,0.5495583403619786,0.5826223392802168,,0.7449059251452235,1.355462869792086
ENSDARG00000090160,97.92810735442627,0.12763693394454828,0.14556017949790162,1.3331766486628702,0.1824738405495211,0.386028140634395,0.2703081730418552,0.20275495622651724
ENSDARG00000045758,184.07819741490255,-0.11603053320708358,0.1426554604336416,-1.2397212317854132,0.2150785212421652,0.4275883065535467,-0.2565736182219861,0.20696073572320423
ENSDARG00000096491,0.7428295413461846,-0.0002920211419635826,0.13719521747842434,-0.024536571812315326,0.9804246124009705,,-0.040765220145224663,1.6614065101288475
ENSDARG00000045760,310.5591012302867,-0.13931290507069444,0.09510003921451347,-1.7159550733903601,0.08617026553948737,0.23951330932563855,-0.1793062079040135,0.10449353289287627
ENSDARG00000031346,674.3408528358282,0.014796256419186261,0.07242985390712482,0.21543216538975798,0.8294303943457235,0.9145255989053226,0.018280451929342054,0.0848547936018246
ENSDARG00000096461,3.1356690230778326,-0.023401094730947175,0.14272384908745966,-0.6988018464953692,0.4846758744280065,,-0.5870765869340983,0.8401188260712311
ENSDARG00000099327,37.519810311187,0.09404678493734898,0.1456412711765609,1.1225670402709678,0.26162142016591794,0.4808664691617482,0.30659349085077925,0.2731182012762222
ENSDARG00000017661,755.5662276042331,-0.1579540257529607,0.102752402226489,-1.8468020363663575,0.0647758366497131,0.19895563923251922,-0.20572821104691794,0.11139700249177481
ENSDARG00000007523,2340.7038195511072,-0.2295099516710257,0.0873616546256474,-2.9833385133255894,0.0028512245197861935,0.023597480240578145,-0.2617197849597126,0.08772714989958284
ENSDARG00000045672,1.6693828613847854,-0.0058324931732059125,0.14027331590578423,-0.26439029486845844,0.7914791891187649,,-0.32093786490658593,1.2138791443394756
ENSDARG00000098115,13.029387148429082,0.18737474771829057,0.28264701679607857,2.361512945816407,0.01820053643897469,0.08509723195230505,1.1403375192685488,0.48288429724204573
ENSDARG00000091561,14.379216653195932,0.14408102530360253,0.2037761692782477,2.0039428693233745,0.04507618064858562,0.1567857915756539,0.904671930735814,0.45144596913647234
ENSDARG00000026839,269.6707039409292,-0.062107979401086366,0.10352513545118243,-0.7298821069150829,0.4654622504190533,0.6724659855147104,-0.10275716327461558,0.14078597392793835
ENSDARG00000088961,4.175537032996956,0.02864667458867858,0.1361522864032548,0.8304266982649238,0.40629757588900406,,0.6689037034019149,0.8054939765297868
ENSDARG00000089179,42.35966853422986,-0.03229550135306709,0.12829032806280288,-0.4277402147965967,0.6688402679350847,0.8180067154607598,-0.11883061312204236,0.2778102432537233
ENSDARG00000093424,12.031775878913823,-0.030872065768298658,0.13398327815308247,-0.49847741760036024,0.618147582170175,0.7858265473250361,-0.19535435011571592,0.3919021067316144
ENSDARG00000101374,112.1773035740942,-0.009730130849388254,0.14855451074503997,-0.552364937603751,0.5806983479260981,0.758918578791965,-0.782781718451619,1.4171459214037978
ENSDARG00000088616,10.364613416180832,0.017411147462578224,0.13353771229573666,0.3371766577657457,0.7359837324732241,0.8603713977204243,0.17091969802373366,0.5069143847510361
ENSDARG00000045544,53.845269215117675,0.010411005455321823,0.11560412500657256,0.12423543993332739,0.9011288625818342,0.9526809554796442,0.02577496028822603,0.207468660327991
ENSDARG00000115818,0.9579715314442382,-0.031250601702162144,0.15210579438528402,-1.1904384791986151,0.23387409670495773,,-2.2167729824355282,1.8621482933984341
ENSDARG00000077356,47.93895574722657,0.19709005607955687,0.20303599268260702,1.8057951245510777,0.07095034731126813,0.2119469867154605,0.4210096243484354,0.23314362666312924
ENSDARG00000045673,0.6098080905166178,-0.020299791975780534,0.1510747175882621,-1.0121432390812752,0.3114695708520384,,-1.792675745020722,1.7711680282011646
ENSDARG00000097907,3.8125028595900763,0.01142543673643273,0.1363594981966858,0.3033662985307751,0.7616107261080595,,0.21774572538358758,0.7177650465399283
ENSDARG00000012684,1829.8091083720878,-0.08915873425522614,0.06750716536743069,-1.4141257450988458,0.15732498524502947,0.35118147291184787,-0.10404259676689438,0.07357379435845142
ENSDARG00000093557,2.319650539988373,-0.002379948142659034,0.13954217636784946,-0.08256910746123279,0.9341941660448991,,-0.07909017526418294,0.9578664187609968
ENSDARG00000092583,27.677126162468223,-0.008732974435448472,0.12284885501807108,-0.1139425992878952,0.9092832960973918,0.956864945795542,-0.02944428343478207,0.258413303003437
ENSDARG00000101849,2917.6528620047643,0.23848988254254624,0.08910243910468353,3.0508494857797617,0.0022819493632642205,0.0200238117135579,0.2717619925437047,0.08907748278320766
ENSDARG00000091477,7.892664478644918,1.0570907016808606,0.6617551650652759,3.1003064053130136,0.0019332054355146158,0.017825587312310737,1.4413834506327938,0.4649164508910108
ENSDARG00000113005,5.423218761307105,-0.011647735732087341,0.13719610209163155,-0.28782517568087285,0.7734805650615484,,-0.19263320882982699,0.6692715756157819
ENSDARG00000045675,134.66116034539155,-0.018720123803818635,0.09257723139645889,-0.23276726766717476,0.8159421314405471,0.9063339946797588,-0.028643295296368075,0.12305551198600678
ENSDARG00000096065,2.4381772021873735,0.022818353612250625,0.1334176555240171,0.8430125305682735,0.3992214358108124,,0.8497412614733717,1.0079817685516042
ENSDARG00000099699,12.759941260193488,0.03986882930781897,0.13548916906097713,0.6199900060903715,0.5352643666278607,0.7246510005977013,0.23602539581221774,0.3806922587358836
ENSDARG00000096481,0.5629538037526228,0.011950728955505212,0.12800538094691727,0.7970162981322699,0.42544156587174486,,2.1976571123363637,2.7573552981116687
ENSDARG00000001781,77.25346214919296,0.16853512872522422,0.13953273172165465,1.6864849089260907,0.09170243936293294,0.24993232858007788,0.26763684232819845,0.1586950709796879
ENSDARG00000069555,15.261690378459427,0.05712121759816101,0.14420921314667262,1.1248970933654818,0.2606326438229296,0.47960652494354905,0.5953022240663213,0.529205940327651
ENSDARG00000116546,3.7522157083613963,-0.02818426666839061,0.14531539755971257,-0.8951315522010082,0.3707167690484049,,-0.7754084016419724,0.8662507759170677
