gene_id,baseMean,LFC_shrunk,lfcSE_shrunk,stat,pvalue,padj,LFC_raw,lfcSE_raw,ortholog_ensg,name,description
ENSMUSG00000063889,280.3083874346843,-2.294790747545737e-06,0.001020152901369,-0.495629206752735,0.6201560424923447,0.9999825715135549,-0.1106833977180247,0.2233189574181887,ENSG00000095794,CREM,cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]
ENSMUSG00000091488,4.220905628069002,-8.824544783560333e-07,0.0010204037640072,-0.6640301966283016,0.5066709845148678,0.9999825715135549,-0.5758678704748877,0.8672314503149565,N/A,N/A,N/A
ENSMUSG00000024231,946.794321130232,2.326359760014504e-06,0.001020080946644,0.4121419340155422,0.6802353942330817,0.9999825715135549,0.0369964296707321,0.0897662349236633,ENSG00000108094,CUL2,cullin 2 [Source:HGNC Symbol;Acc:HGNC:2552]
ENSMUSG00000024232,171.4562759507352,3.5462679767327548e-06,0.0010201534408221,0.6972589321596168,0.4856407640535493,0.9999825715135549,0.1430983935447114,0.2052299181044456,ENSG00000095739,BAMBI,BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]
ENSMUSG00000073647,61.11735018522677,-5.26454291877953e-06,0.0010201780299118,-1.259021368632845,0.2080226136904583,0.9999825715135549,-0.3158371905734214,0.2508592772467277,N/A,N/A,N/A
ENSMUSG00000024235,1952.35864475476,3.920788692626001e-07,0.0010201574466722,-0.0398040380625339,0.9682493568760686,0.9999825715135549,-0.0100757676795298,0.2531343092301423,ENSG00000107968,MAP3K8,mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]
ENSMUSG00000024234,713.0782030397829,-2.956286181461971e-06,0.0010201010198434,-0.2977748180672336,0.7658750354245186,0.9999825715135549,-0.0308776782866392,0.1036947263944512,ENSG00000107951,MTPAP,mitochondrial poly(A) polymerase [Source:HGNC Symbol;Acc:HGNC:25532]
ENSMUSG00000033960,9703.057704712495,6.083104396427952e-06,0.0010201439333089,0.9117482864778768,0.3619012388143384,0.9999825715135549,0.1212893406453627,0.13302941441646,ENSG00000165757,JCAD,junctional cadherin 5 associated [Source:HGNC Symbol;Acc:HGNC:29283]
ENSMUSG00000024236,5784.432576989065,-2.7089068493321157e-05,0.0010205888264479,-1.5357069395710694,0.1246102723136669,0.9999825715135549,-0.1162955438935003,0.0757276931534751,ENSG00000197321,SVIL,supervillin [Source:HGNC Symbol;Acc:HGNC:11480]
ENSMUSG00000085461,9.14837303738832,4.0613750413666507e-07,0.0010203039074296,0.2342227545993912,0.8148120506686313,0.9999825715135549,0.1413663724108668,0.6035552465970113,N/A,N/A,N/A
ENSMUSG00000050945,135.5496792779593,-3.915341834082765e-06,0.0010201403293154,-0.5988254751020726,0.5492892723820293,0.9999825715135549,-0.0952314317756349,0.1590303614912213,ENSG00000183621,ZNF438,zinc finger protein 438 [Source:HGNC Symbol;Acc:HGNC:21029]
ENSMUSG00000063087,13.085568615260314,1.6768788941393364e-06,0.0010202164027246,0.6857799880297311,0.4928518576144824,0.9999825715135549,0.2953971509649315,0.4307462394952898,N/A,N/A,N/A
ENSMUSG00000093585,4.174258099252598,8.563444662854427e-07,0.0010203334830907,0.6315828200267569,0.5276595155676937,0.9999825715135549,0.5235234973261502,0.8289071214824546,N/A,N/A,N/A
ENSMUSG00000041225,856.7260162716178,1.5241271970464149e-06,0.0010200541725276,-0.1623594145384734,0.8710228292360156,0.9999825715135549,-0.0125075101772185,0.0770359403719992,ENSG00000165322,ARHGAP12,Rho GTPase activating protein 12 [Source:HGNC Symbol;Acc:HGNC:16348]
ENSMUSG00000006740,6029.495290203176,-5.911037382458333e-06,0.001020021558102,-0.3340409650845601,0.7383486466851806,0.9999825715135549,-0.0202040703229579,0.060483810175328,ENSG00000170759,KIF5B,kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]
ENSMUSG00000024240,1276.1371748395145,-1.3207602946954592e-05,0.001020147685013,-0.8394187261380461,0.4012343791414859,0.9999825715135549,-0.0554068135897415,0.0660061681547828,ENSG00000120616,EPC1,enhancer of polycomb homolog 1 [Source:HGNC Symbol;Acc:HGNC:19876]
ENSMUSG00000073639,2988.6423505155512,1.4569124214263186e-05,0.0010201616168929,1.0769207226978232,0.2815156843489085,0.9999825715135549,0.0673953680787075,0.0625815500233606,ENSG00000099246,RAB18,"RAB18, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14244]"
ENSMUSG00000061013,7.700045210889447,-2.45536501041654e-07,0.0010202562811675,-0.1273967175660612,0.8986264140763914,0.9999825715135549,-0.0689216012980563,0.5409998202058639,ENSG00000150051,MKX,mohawk homeobox [Source:HGNC Symbol;Acc:HGNC:23729]
ENSMUSG00000061802,125.91147036763118,9.406076017533433e-08,0.0010201624257015,0.0207903136360509,0.9834129246691562,0.9999825715135549,0.0056474848268867,0.2716401938782629,ENSG00000169126,ODAD2,outer dynein arm docking complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25583]
ENSMUSG00000057440,562.0885077229544,-3.4115831411253467e-06,0.0010201481005033,-0.7561809162050661,0.449540733016863,0.9999825715135549,-0.1436905415873706,0.1900213804766314,ENSG00000150054,MPP7,MAGUK p55 scaffold protein 7 [Source:HGNC Symbol;Acc:HGNC:26542]
ENSMUSG00000024283,2046.518125707927,2.55456780411148e-05,0.0010203783528423,1.150305901396751,0.250017901050397,0.9999825715135549,0.0539120709970829,0.0468675948994268,ENSG00000095787,WAC,WW domain containing adaptor with coiled-coil [Source:HGNC Symbol;Acc:HGNC:17327]
ENSMUSG00000036904,206.50010062238036,2.7620013810952224e-06,0.0010201461897474,0.4801607968844449,0.6311130603994289,0.9999825715135549,0.0928675772180685,0.1934093283346868,ENSG00000177283,FZD8,frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]
ENSMUSG00000024286,2464.3790028691183,2.2964767759619386e-06,0.0010200214005746,0.1296004600101795,0.8968825392819011,0.9999825715135549,0.0084887549190231,0.0654994196653036,ENSG00000108100,CCNY,cyclin Y [Source:HGNC Symbol;Acc:HGNC:23354]
