name,ortholog_ensg,description,stat,baseMean,LFC_raw,LFC_shrunk,pvalue,padj,mouse_ids
B3GNTL1,ENSG00000175711,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:21727]",0.4496641575239106,204.8555570869217,0.0577925705683245,3.6545816353021194e-06,0.652952619406503,0.999992753084955,ENSMUSG00000046605
MLXIP,ENSG00000175727,MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055],-0.2370783523134145,2725.7192730579814,-0.0166827347413631,-3.581892039654464e-06,0.8125960060290348,0.999992753084955,ENSMUSG00000038342
NR2F1,ENSG00000175745,nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975],0.2531449526986035,118.73705793183768,0.0654629620643045,9.773999248692035e-07,0.8001562026229082,0.999992753084955,ENSMUSG00000069171
AURKAIP1,ENSG00000175756,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114],1.0482214385633335,753.8290738687473,0.0870114179949148,1.2806600399696203e-05,0.2945365953572436,0.999992753084955,ENSMUSG00000065990
TTLL11,ENSG00000175764,tubulin tyrosine ligase like 11 [Source:HGNC Symbol;Acc:HGNC:18113],-1.4853122211136205,32.105376233412564,-0.4390853595933054,-5.254108697425165e-06,0.1374611359858719,0.999992753084955,ENSMUSG00000026885
SLC35E3,ENSG00000175782,solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864],-0.3616666369164464,369.8404233489941,-0.0405987825766084,-3.351012355987755e-06,0.7176011615265078,0.999992753084955,ENSMUSG00000060181
PRIMA1,ENSG00000175785,proline rich membrane anchor 1 [Source:HGNC Symbol;Acc:HGNC:18319],-1.34932984630344,0.9546351949780068,-2.62580342313716,-8.632187991149367e-07,0.1772310430867032,0.999992753084955,ENSMUSG00000041669
ZNF169,ENSG00000175787,zinc finger protein 169 [Source:HGNC Symbol;Acc:HGNC:12957],0.9093422316855708,170.19157209345275,0.1383965941127219,6.209528658924337e-06,0.3631695048764907,0.999992753084955,ENSMUSG00000050954
RUVBL1,ENSG00000175792,RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474],-0.1481969650135356,287.93233645077373,-0.0173316840609001,-1.3809270624650106e-06,0.8821873269400857,0.999992753084955,ENSMUSG00000030079
SFN,ENSG00000175793,stratifin [Source:HGNC Symbol;Acc:HGNC:10773],0.1094436585046942,327.2871114994672,0.0206348713641082,7.257799602543546e-07,0.9128506072182236,0.999992753084955,ENSMUSG00000047281
MSRA,ENSG00000175806,methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377],1.5493418497723888,332.4621031292936,0.1474181310107179,1.6914738281201345e-05,0.1212995644964823,0.999992753084955,ENSMUSG00000054733
CCDC168,ENSG00000175820,coiled-coil domain containing 168 [Source:HGNC Symbol;Acc:HGNC:26851],0.6350413001338734,7.54149499922508,0.362441398437017,1.168737365687209e-06,0.5254014793997096,0.999992753084955,ENSMUSG00000091844
CTDNEP1,ENSG00000175826,CTD nuclear envelope phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19085],0.7244401227154689,2140.353289910964,0.0575677283933069,8.909702621226726e-06,0.4687955749358343,0.999992753084955,ENSMUSG00000018559
ETV4,ENSG00000175832,ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493],-0.1017829528432054,17.197833745854762,-0.0373850821955315,-2.842748488234198e-07,0.9189289570300893,0.999992753084955,ENSMUSG00000017724
SWI5,ENSG00000175854,SWI5 homologous recombination repair protein [Source:HGNC Symbol;Acc:HGNC:31412],0.8377842078728511,1678.241787921224,0.0598593108114318,1.1960331433212014e-05,0.402151909625979,0.999992753084955,ENSMUSG00000044627
GAPT,ENSG00000175857,"GRB2 binding adaptor protein, transmembrane [Source:HGNC Symbol;Acc:HGNC:26588]",0.3860346477182871,86.74784531486317,0.0788197589932908,2.191675992532981e-06,0.6994710087416104,0.999992753084955,ENSMUSG00000046006
BAIAP2,ENSG00000175866,BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947],-0.2685136720562034,1196.179860126214,-0.0356483487618943,-2.046970805160674e-06,0.7883039523804025,0.999992753084955,ENSMUSG00000025372
CALCB,ENSG00000175868,calcitonin related polypeptide beta [Source:HGNC Symbol;Acc:HGNC:1438],0.1483397503294647,7.603967870651671,0.1030840328877027,2.2779222460364118e-07,0.8820746461326673,0.999992753084955,ENSMUSG00000030666
CREG2,ENSG00000175874,cellular repressor of E1A stimulated genes 2 [Source:HGNC Symbol;Acc:HGNC:14272],-0.7460767768405712,42.6495756601872,-0.196644109148899,-2.9768743986887343e-06,0.4556210370452437,0.999992753084955,ENSMUSG00000050967
HOXD8,ENSG00000175879,homeobox D8 [Source:HGNC Symbol;Acc:HGNC:5139],0.2123867083198678,7.870265227213288,0.125756001511513,3.602802179655995e-07,0.8318053544756625,0.999992753084955,ENSMUSG00000027102
ZDHHC21,ENSG00000175893,zinc finger DHHC-type palmitoyltransferase 21 [Source:HGNC Symbol;Acc:HGNC:20750],0.1030446801322824,1164.6501392856796,0.0114021423146156,9.79428643112382e-07,0.917927510050874,0.999992753084955,ENSMUSG00000028403
PLEKHF2,ENSG00000175895,pleckstrin homology and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20757],-0.4714405515884511,1245.5105521616892,-0.0301606339549787,-7.704877054198674e-06,0.6373261632386089,0.999992753084955,ENSMUSG00000049969
A2M,ENSG00000175899,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7],0.1945415923505767,64.13727836766563,0.0662089477206214,5.973937022312423e-07,0.8457518317804384,0.999992753084955,ENSMUSG00000030111
ARL4D,ENSG00000175906,ADP ribosylation factor like GTPase 4D [Source:HGNC Symbol;Acc:HGNC:656],-0.4436402048589122,624.7929087675632,-0.0837977630961006,-4.613361575827989e-06,0.6573027331132719,0.999992753084955,ENSMUSG00000034936
DOK7,ENSG00000175920,docking protein 7 [Source:HGNC Symbol;Acc:HGNC:26594],-1.5461099889296048,28.76282350123321,-0.4652102296774817,-5.365970659456115e-06,0.1220780067847728,0.999992753084955,ENSMUSG00000044716
LRRN1,ENSG00000175928,leucine rich repeat neuronal 1 [Source:HGNC Symbol;Acc:HGNC:20980],1.8140816171173584,5.573205882937645,1.250427151952835,2.866934029947171e-06,0.0696651612621493,0.999992753084955,ENSMUSG00000034648
UBE2O,ENSG00000175931,ubiquitin conjugating enzyme E2 O [Source:HGNC Symbol;Acc:HGNC:29554],-0.1388648187734198,783.4303407029217,-0.0124524006515685,4.899271934189065e-06,0.889556972109683,0.999992753084955,ENSMUSG00000020802
ORAI3,ENSG00000175938,ORAI calcium release-activated calcium modulator 3 [Source:HGNC Symbol;Acc:HGNC:28185],-0.560845800093024,626.38098994293,-0.0424407764655085,-8.580794383169246e-06,0.574902661252636,0.999992753084955,ENSMUSG00000043964
KLHL38,ENSG00000175946,kelch like family member 38 [Source:HGNC Symbol;Acc:HGNC:34435],1.2232007486877428,76.25138084722664,0.2432325612873839,6.353434383629825e-06,0.2212538828846162,0.999992753084955,ENSMUSG00000022357
UNC119B,ENSG00000175970,unc-119 lipid binding chaperone B [Source:HGNC Symbol;Acc:HGNC:16488],0.1153176513088278,1290.1400642286576,0.0103792026747378,2.5260411372616117e-06,0.9081933479754016,0.999992753084955,ENSMUSG00000046562
