gene_id,baseMean,LFC_shrunk,lfcSE_shrunk,stat,pvalue,padj,LFC_raw,lfcSE_raw
ENSMUSG00000063889,280.3083874346843,-2.2947907475457366e-06,0.0010201529013690587,-0.49562920675273503,0.6201560424923447,0.9999825715135549,-0.1106833977180247,0.22331895741818875
ENSMUSG00000091488,4.220905628069002,-8.824544783560333e-07,0.0010204037640072355,-0.6640301966283016,0.5066709845148678,0.9999825715135549,-0.5758678704748877,0.8672314503149565
ENSMUSG00000024231,946.794321130232,2.326359760014504e-06,0.0010200809466440767,0.4121419340155422,0.6802353942330817,0.9999825715135549,0.03699642967073212,0.08976623492366334
ENSMUSG00000024232,171.4562759507352,3.5462679767327548e-06,0.001020153440822181,0.6972589321596168,0.4856407640535493,0.9999825715135549,0.1430983935447114,0.20522991810444569
ENSMUSG00000073647,61.11735018522677,-5.26454291877953e-06,0.001020178029911815,-1.259021368632845,0.20802261369045838,0.9999825715135549,-0.31583719057342147,0.2508592772467277
ENSMUSG00000024235,1952.35864475476,3.920788692626001e-07,0.0010201574466722064,-0.03980403806253393,0.9682493568760686,0.9999825715135549,-0.01007576767952982,0.25313430923014235
ENSMUSG00000024234,713.0782030397829,-2.956286181461971e-06,0.0010201010198434065,-0.29777481806723366,0.7658750354245186,0.9999825715135549,-0.030877678286639294,0.10369472639445125
ENSMUSG00000033960,9703.057704712495,6.083104396427952e-06,0.0010201439333089003,0.9117482864778768,0.36190123881433844,0.9999825715135549,0.12128934064536276,0.13302941441646
ENSMUSG00000024236,5784.432576989065,-2.7089068493321154e-05,0.0010205888264479526,-1.5357069395710694,0.12461027231366693,0.9999825715135549,-0.11629554389350037,0.07572769315347516
ENSMUSG00000085461,9.14837303738832,4.0613750413666507e-07,0.0010203039074296492,0.23422275459939126,0.8148120506686313,0.9999825715135549,0.14136637241086686,0.6035552465970113
ENSMUSG00000050945,135.5496792779593,-3.915341834082765e-06,0.0010201403293154194,-0.5988254751020726,0.5492892723820293,0.9999825715135549,-0.09523143177563495,0.1590303614912213
ENSMUSG00000063087,13.085568615260314,1.6768788941393364e-06,0.0010202164027246787,0.6857799880297311,0.49285185761448247,0.9999825715135549,0.2953971509649315,0.4307462394952898
ENSMUSG00000093585,4.174258099252598,8.563444662854427e-07,0.0010203334830907265,0.6315828200267569,0.5276595155676937,0.9999825715135549,0.5235234973261502,0.8289071214824546
ENSMUSG00000041225,856.7260162716178,1.5241271970464147e-06,0.0010200541725276836,-0.16235941453847347,0.8710228292360156,0.9999825715135549,-0.012507510177218545,0.0770359403719992
ENSMUSG00000006740,6029.4952902031755,-5.911037382458333e-06,0.001020021558102015,-0.33404096508456016,0.7383486466851806,0.9999825715135549,-0.020204070322957908,0.06048381017532801
ENSMUSG00000024240,1276.1371748395145,-1.3207602946954592e-05,0.0010201476850130735,-0.8394187261380461,0.40123437914148596,0.9999825715135549,-0.05540681358974152,0.06600616815478288
ENSMUSG00000073639,2988.6423505155512,1.4569124214263186e-05,0.0010201616168929492,1.0769207226978232,0.2815156843489085,0.9999825715135549,0.06739536807870757,0.06258155002336069
ENSMUSG00000061013,7.7000452108894475,-2.4553650104165393e-07,0.0010202562811675428,-0.1273967175660612,0.8986264140763914,0.9999825715135549,-0.06892160129805633,0.5409998202058639
ENSMUSG00000061802,125.91147036763118,9.406076017533433e-08,0.0010201624257015903,0.02079031363605092,0.9834129246691562,0.9999825715135549,0.005647484826886767,0.27164019387826294
ENSMUSG00000057440,562.0885077229544,-3.4115831411253467e-06,0.001020148100503302,-0.7561809162050661,0.44954073301686304,0.9999825715135549,-0.1436905415873706,0.19002138047663142
ENSMUSG00000024283,2046.518125707927,2.55456780411148e-05,0.0010203783528423371,1.150305901396751,0.250017901050397,0.9999825715135549,0.05391207099708297,0.04686759489942685
