gene_id,baseMean,LFC_shrunk,lfcSE_shrunk,stat,pvalue,padj,LFC_raw,lfcSE_raw,ortholog_ensg,name,description
ENSMUSG00000063889,280.3083874346843,2.1729398299844915e-06,0.0010201580998491,0.472626646607246,0.6364795682269737,0.999992753084955,0.0984111789982997,0.2082218167442424,ENSG00000095794,CREM,cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]
ENSMUSG00000091488,4.220905628069002,3.290508738153712e-07,0.0010205922456633,0.2328304125899342,0.815893095993628,0.999992753084955,0.177126200699743,0.7607519942495715,N/A,N/A,N/A
ENSMUSG00000024231,946.794321130232,-3.387196292361897e-06,0.0010200772231398,-0.3052127138102964,0.7602041498872993,0.999992753084955,-0.0256866534276655,0.084159840876193,ENSG00000108094,CUL2,cullin 2 [Source:HGNC Symbol;Acc:HGNC:2552]
ENSMUSG00000024232,171.4562759507352,1.610517392883872e-06,0.0010201499019302,0.347384790637138,0.7283022580573809,0.999992753084955,0.0669043894559412,0.1925944694735539,ENSG00000095739,BAMBI,BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]
ENSMUSG00000073647,61.11735018522677,-4.587576700695008e-06,0.0010201808038141,-1.1094649222199864,0.2672296687108809,0.999992753084955,-0.2590326492630589,0.2334752943290419,N/A,N/A,N/A
ENSMUSG00000024235,1952.35864475476,-8.732654049575199e-07,0.0010201654038929,-0.1942315399782206,0.8459945877749983,0.999992753084955,-0.045994945671861,0.2368047211952212,ENSG00000107968,MAP3K8,mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]
ENSMUSG00000024234,713.0782030397829,-1.367989365280118e-05,0.0010202264256167,-1.279357820602994,0.2007710799359664,0.999992753084955,-0.1244506469225206,0.0972758714710978,ENSG00000107951,MTPAP,mitochondrial poly(A) polymerase [Source:HGNC Symbol;Acc:HGNC:25532]
ENSMUSG00000033960,9703.057704712495,7.991842308370896e-06,0.0010201621683047,0.7989075737417359,0.4243440070126666,0.999992753084955,0.0994207546726764,0.1244458782722922,ENSG00000165757,JCAD,junctional cadherin 5 associated [Source:HGNC Symbol;Acc:HGNC:29283]
ENSMUSG00000024236,5784.432576989065,-2.7378398041885864e-05,0.0010205867627839,-1.860517186912797,0.0628123891366325,0.999992753084955,-0.1318033782564948,0.0708423330800827,ENSG00000197321,SVIL,supervillin [Source:HGNC Symbol;Acc:HGNC:11480]
ENSMUSG00000085461,9.14837303738832,-1.1716935936915396e-06,0.0010203356770879,-0.4468876653543574,0.6549561703254058,0.999992753084955,-0.2592140751367896,0.5800430292280434,N/A,N/A,N/A
ENSMUSG00000050945,135.5496792779593,-4.344256403390367e-06,0.001020143322938,-0.6214641133179156,0.5342942994094395,0.999992753084955,-0.0924410310566044,0.1487471747372087,ENSG00000183621,ZNF438,zinc finger protein 438 [Source:HGNC Symbol;Acc:HGNC:21029]
ENSMUSG00000063087,13.085568615260314,8.270667802206734e-07,0.0010202328147788,0.3241913051805422,0.745793204380658,0.999992753084955,0.133044363100624,0.4103884372424226,N/A,N/A,N/A
