name,ortholog_ensg,description,stat,baseMean,LFC_raw,LFC_shrunk,pvalue,padj,mmusculus_genes
PLAU,ENSG00000122861,"plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]",-0.4312814884974768,300.5495164497156,-0.0845275368042627,-2.2791581878184237e-06,0.6662637086451744,0.9999825715135549,ENSMUSG00000021822
SRGN,ENSG00000122862,serglycin [Source:HGNC Symbol;Acc:HGNC:9361],0.4263403475287547,8389.27209692833,0.0910112514866072,2.0917806896806047e-06,0.6698598617253817,0.9999825715135549,ENSMUSG00000020077
CHST3,ENSG00000122863,carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971],-0.0173933341519226,386.1621922855389,-0.0048970636007531,8.775842480983982e-08,0.9861228269285612,0.9999825715135549,ENSMUSG00000057337
BICC1,ENSG00000122870,BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351],-0.3761084556417427,1528.9994750504618,-0.046424211346671,-3.471762305781556e-06,0.7068362683793995,0.9999825715135549,ENSMUSG00000014329
CISD1,ENSG00000122873,CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:HGNC:30880],0.6651156483693857,311.7371785904264,0.0660414425830816,7.0124702445659e-06,0.5059765265977609,0.9999825715135549,ENSMUSG00000037710
EGR2,ENSG00000122877,early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239],0.2420167095662103,317.13037112565155,0.0587645760039455,9.97373571400144e-07,0.8087672156870214,0.9999825715135549,ENSMUSG00000037868
ECD,ENSG00000122882,ecdysoneless cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:17029],-0.7568504212956338,767.9612807707651,-0.0716162207533506,-8.303858963916682e-06,0.4491394811089026,0.9999825715135549,ENSMUSG00000021810
P4HA1,ENSG00000122884,prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546],0.6207961772184358,1989.640145708226,0.1047048017380113,4.100271564282332e-06,0.5347337388064063,0.9999825715135549,ENSMUSG00000019916
SLC25A16,ENSG00000122912,solute carrier family 25 member 16 [Source:HGNC Symbol;Acc:HGNC:10986],-1.2562963164975491,736.4956590141379,-0.112845817742405,-1.7367024968400362e-05,0.2090085569278076,0.9999825715135549,ENSMUSG00000071253
ZWINT,ENSG00000122952,ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195],0.0597539072598471,1329.506548897351,0.0072268421281397,6.680977948780569e-07,0.9523516366161634,0.9999825715135549,ENSMUSG00000019923
