gene_id,baseMean,LFC_shrunk,lfcSE,stat,pvalue,padj,LFC_raw
FBgn0038542,226.21485152440044,0.0180377578621327,0.0746305947489605,0.5343917301576908,0.5930705393694676,0.8030645322702791,0.0398819726505944
FBgn0039592,3.981611889701576,0.0181305393422688,0.4611241829779181,1.8064639907680105,0.0708458939398355,,0.8330042318219283
FBgn0038067,0.4427596903603337,0.0027825947692569,1.6971742295017698,0.6859973913149803,0.4927147534330677,,1.1642570940452257
FBgn0039602,407.3698204478508,0.0506732429883786,0.0601099567659763,1.376922354109691,0.1685362550984795,0.4204164608737745,0.0827667431756399
FBgn0264897,8.031146511813294,-0.0058785947784289,0.3188846794009222,-0.4426915328806633,0.6579888676406287,,-0.1411675475361531
FBgn0038565,5.657062821918892,-0.0016264551357584,0.4086921427747686,-0.1535407762932158,0.8779718366807261,,-0.0627509088665757
FBgn0039331,1.0028780508239052,-0.0011018768025301,0.9478135730726094,-0.2470375223711286,0.8048791851586727,,-0.2341455167615841
FBgn0065070,3.5289390380355794,-0.001158150492138,0.4631152800884324,-0.1267766851474469,0.8991171493778481,,-0.0587122200507428
FBgn0019972,373.6652562253321,-0.0341670402307711,0.074813366809069,-0.9673939366582788,0.3333471400027076,0.6091177975437462,-0.0723739974320851
FBgn0046873,0.4936017406422118,-0.0025958446924074,1.2848491471480246,-0.6010454525952963,0.5478097130524259,,-0.7722527371642648
FBgn0038756,59.70402513948298,-0.0024798502488754,1.0532767220703223,-1.258543545378657,0.2081952492739301,0.4739804492114407,-1.3255946200591946
FBgn0039627,138.79574187907824,0.152345475383084,0.1044417617393964,2.450500145993265,0.0142657904772491,0.0871092319074494,0.2559345523901847
FBgn0039436,0.4927434755798062,0.0007565807231464,3.225591958303885,0.5577178777256595,0.5770370478199591,,1.7989703013941964
FBgn0051092,3021.140758819749,-0.0585709329730814,0.0574426236154066,-1.5684303537319435,0.1167807318932274,0.3407224833477163,-0.0900947544764031
FBgn0039089,829.1391804220611,0.1804147311257694,0.0414610777668025,4.712401850135733,2.44814004037495e-06,0.0001383918788387,0.1953812595769017
FBgn0250820,773.5525433116798,-0.0665949514505259,0.0558912549382187,-1.7531538881221709,0.0795755956971703,0.2682700456640678,-0.0979859709069655
FBgn0267730,6.084964320316072,0.0050887429147645,0.3867755232092405,0.4521470621936101,0.6511630417949508,,0.1748794165474546
FBgn0038243,446.4515800542756,-0.0162419063339556,0.0585010511063147,-0.4865174685347194,0.6266003230820649,0.8232921141401215,-0.0284617832908645
FBgn0283468,1603.7670475438929,-0.0231709955832997,0.0308311634627832,-0.904016434973385,0.3659866867454738,0.6400729735910787,-0.027871878479707
FBgn0038598,26.91444845250247,-0.0356870765601021,0.188759950703455,-1.5146843569222217,0.1298523577841552,0.3611991193238127,-0.2859117445439331
FBgn0038407,2829.458297130664,-0.0690279865131012,0.0859262347697624,-1.6761296759115338,0.0937127951215621,0.2976812387039375,-0.1440235120369403
FBgn0038627,136.17639751218803,-0.0359504468747847,0.0852383416714702,-1.026840865031161,0.304495403390407,0.5803446957019984,-0.0875262124957541
FBgn0027654,5511.935192867821,0.1120529184835852,0.0290205182364961,4.131288233635071,3.6073592044206e-05,0.0011534329366722,0.1198921255244285
FBgn0037236,96.22847633447486,-0.0240349569359809,0.1138562064110698,-0.7915599144586588,0.4286173279590927,0.6895358010311203,-0.0901240090073338
FBgn0003890,2577.085977442928,-0.0391573841189097,0.0374344664990002,-1.3280176971355655,0.1841722606223158,0.4411670618257867,-0.0497136339935007
FBgn0000463,260.94091861183244,-0.0025392087344451,0.0760844919917916,-0.0780511161006132,0.937787392206226,0.9763345772859948,-0.0059384795179075
FBgn0051415,5.609794393182881,-0.0078946764881319,0.4055977454575417,-0.7463420704236013,0.4554608036508426,,-0.3027146611039266
FBgn0267156,0.5162688977392405,-0.0023015355357352,1.5521481456377126,-0.8159775472673716,0.41451297747,,-1.2665180368730595
FBgn0051077,135.99808282396714,-0.0005706149378563,2.887780185314296,-1.239437280464963,0.2151836024122203,0.4837280981449912,-3.5792224194665567
FBgn0037723,79.55818366379441,-0.0728945408244989,0.1138422549478368,-1.812650226508115,0.0698857858510297,0.2484703379215967,-0.2063561892173911
FBgn0028374,1262.5611435742326,-0.009543269373674,0.08724120971709,-0.2968687470966322,0.7665667172996838,0.9015040783472664,-0.025899188623907
FBgn0004622,214.66770530641224,0.007160563351874,0.0742084732015965,0.2154498862457434,0.8294165795043003,0.9290358896929342,0.0159882071097542
FBgn0263651,0.0971347778543962,0.0009900320076615,3.0728186937395936,0.1483175394514667,0.8820921739665092,,0.4557529078359265
FBgn0053207,211.49034017976308,0.1289451998173918,0.0870087382215277,2.363140317447201,0.0181208071433923,0.1017123039209591,0.2056138572615014
FBgn0038890,1548.356506849521,0.1185242224568051,0.0381960431314437,3.498573172188179,0.0004677547217081,0.0077186131427368,0.1336316517834118
FBgn0010770,150.33343488001643,0.1508281613918405,0.0888246801813862,2.544397968624567,0.0109466287058769,0.0731486708797899,0.226005335817246
FBgn0046763,694.2015518265558,-0.0049449822349378,0.0874569293484738,-0.1546780576067692,0.8770751292729582,0.9507663242034888,-0.0135276679558743
FBgn0038465,5468.530584540913,-0.360777435051,0.0882970640273753,-4.547217974284121,5.4359690835137855e-06,0.0002679959536345,-0.4015059966217972
FBgn0038402,54.39817941166807,0.0215274463658426,0.1224034801233806,0.7399259023632253,0.4593449564201133,0.7112988277661293,0.0905695054826915
FBgn0266744,6.754830143199469,-0.0077014099324122,0.3752716206722605,-0.6736484579317041,0.5005348376122984,,-0.2528011485713997
FBgn0261108,1201.6205164221687,-0.1882041350309092,0.0711929668011675,-3.2492743910997417,0.0011569981499218,0.0148072090593578,-0.2313254838534477
FBgn0262605,5.46379433072537,0.0297271864439107,0.4454396249751779,2.677529757276297,0.0074167264055076,,1.192677850941033
FBgn0263040,0.5765880594620988,-0.0007948156324353,3.228778443188389,-0.6014409109987813,0.5475463568313373,,-1.941919448284452
FBgn0020907,4454.701638097225,-0.0279468861101685,0.109333379276229,-0.8932205422851845,0.3717390793516053,0.6452245414760434,-0.097658820326985
FBgn0038903,43.25353374196415,0.0050306465931413,0.1586607004196525,0.2111233456719885,0.8327910235771118,0.930717204238943,0.0334969778992581
FBgn0037472,572.3444418495295,0.0325567024083637,0.0617285732659124,0.9318630128285406,0.3514073246362088,0.6261143857858604,0.0575225742611805
FBgn0263977,2486.633380306828,0.0593240845963652,0.0352080607153842,2.0124193690920587,0.044175748418643,0.1864660017603455,0.0708533833318083
FBgn0261060,0.4004002317316639,0.0003255593877271,2.42477470677664,0.3926665398701907,0.6945657869666098,,0.9521278940747394
