name,stat
CALB1,8.264713002056771
CALB2,8.264713002056771
SCGN,8.264713002056771
SNAP25,7.499593718631897
PAFAH1B1,7.228313187096409
FEZ2,6.45126366216132
FEZ1,6.45126366216132
SYNGR2,6.41397077734737
SYNGR3,6.41397077734737
SYNGR1,6.41397077734737
SYNGR4,6.41397077734737
NSF,6.378002920415863
GNG10,6.324767691651157
GNG11,6.324767691651157
GNGT2,6.324767691651157
GNG5B,6.324767691651157
GNG5,6.324767691651157
GNGT1,6.324767691651157
SLC12A4,6.153266185042668
SLC12A5,6.153266185042668
SLC12A6,6.153266185042668
SLC12A1,6.153266185042668
SLC12A3,6.153266185042668
SLC12A2,6.153266185042668
SLC12A7,6.153266185042668
MX2,6.114041525107223
ATP6V1A,6.099815515678242
CACFD1,5.860991825133084
GAD1,5.791598119075586
GAD2,5.791598119075586
ANK1,5.784559841542582
MFSD6,5.776482811434297
PKN2,5.714717560675136
PRKCZ,5.714717560675136
PKN1,5.714717560675136
PRKCB,5.714717560675136
PRKCI,5.714717560675136
PRKCE,5.714717560675136
PRKCH,5.714717560675136
PKN3,5.714717560675136
PRKCG,5.714717560675136
PRKCA,5.714717560675136
STMN4,5.696611080838185
STMN1,5.696611080838185
STMN3,5.696611080838185
STMND1,5.696611080838185
STMN2,5.696611080838185
DAB2,5.676623063142369
MAPK8IP1,5.676623063142369
C1orf226,5.676623063142369
DAB1,5.676623063142369
MAPK8IP2,5.676623063142369
FAM43A,5.676623063142369
NUMBL,5.676623063142369
FAM43B,5.676623063142369
NOS1AP,5.676623063142369
LDLRAP1,5.676623063142369
NAPB,5.398788169295154
NAPA,5.398788169295154
NCS1,5.394707974857415
KCNIP3,5.394707974857415
RCVRN,5.394707974857415
GUCA1B,5.394707974857415
HPCAL1,5.394707974857415
GUCA1A,5.394707974857415
KCNIP4,5.394707974857415
KCNIP2,5.394707974857415
HPCAL4,5.394707974857415
HPCA,5.394707974857415
GUCA1C,5.394707974857415
VSNL1,5.394707974857415
CLXN,5.394707974857415
KCNIP1,5.394707974857415
LDLRAD1,5.388889958716377
FAM234B,5.369839029149514
FAM234A,5.369839029149514
PELI2,5.34255663104097
PELI3,5.34255663104097
PELI1,5.34255663104097
TXNDC11,5.310127019491548
PDIA4,5.310127019491548
SLC5A10,5.291067881353176
SLC5A12,5.291067881353176
SLC5A5,5.291067881353176
SLC5A9,5.291067881353176
SLC5A8,5.291067881353176
SLC5A4,5.291067881353176
SLC5A2,5.291067881353176
MEN1,5.27123157662488
ARNT2,5.264121170794449
NPAS2,5.264121170794449
BMAL2,5.264121170794449
PASD1,5.264121170794449
ATP1B1,5.263050872481008
DNAJC18,5.220139625042787
DNAJC12,5.220139625042787
DNAJC5G,5.220139625042787
DNAJC16,5.220139625042787
DNAJC5B,5.220139625042787
KCTD12,5.117244549516871
TH,5.100023359160936
NAPG,5.064941886056978
SLC7A2,5.00973723328742
SLC7A13,5.00973723328742
UBE2W,4.977466958651914
TMEM53,4.946160459606907
RIT2,4.91020817088019
SNTG1,4.88462151862538
SNTG2,4.88462151862538
GFPT2,4.88439561901919
HOMER2,4.797596786510702
OPCML,4.667025260230339
IGLON5,4.667025260230339
NTM,4.667025260230339
LSAMP,4.667025260230339
NEGR1,4.667025260230339
IGSF5,4.667025260230339
ATP2C1,4.640358550535965
ATP13A2,4.640358550535965
ATP13A4,4.640358550535965
ATP2C2,4.640358550535965
ATP2A2,4.640358550535965
ATP2B2,4.640358550535965
ATP2B3,4.640358550535965
ATP2B1,4.640358550535965
ATP4A,4.640358550535965
ATP1A2,4.640358550535965
ATP2A1,4.640358550535965
ATP7A,4.640358550535965
ATP12A,4.640358550535965
ATP13A3,4.640358550535965
ATP1A4,4.640358550535965
ATP13A5,4.640358550535965
OCA2,4.635726830675767
EIF4E1B,4.5945331222130665
EIF4E2,4.5945331222130665
EIF4E,4.5945331222130665
EIF4E3,4.5945331222130665
HAX1,4.578828365282466
SLC20A1,4.575848008960659
SLC20A2,4.575848008960659
PPP3R1,4.506034286569999
