name,stat
POR,9.149222735723342
HSDL1,9.13670688528501
CYP4F11,8.410827132628402
CYP4Z1,8.410827132624384
CYP4F8,8.4108271326183
CYP4F2,8.410827132599332
CYP4A22,8.410827132593337
CYP4V2,8.410827132591812
CYP4X1,8.410827132575184
CYP4F3,8.410827132570795
CYP4F12,8.410827132570757
CYP4B1,8.410827132562838
CYP4A11,8.4108271325563
CYP19A1,8.410827132551042
CYP4F22,8.410827132533113
FAR1,8.084536475570058
FAR2,8.084536475509964
ALDH3B2,8.063517032326928
CES5A,7.581079872984149
NLGN3,7.581079872981847
CEL,7.581079872977264
NLGN4X,7.58107987296759
ACHE,7.581079872965691
NLGN4Y,7.581079872963522
CES1,7.5810798729612205
CES4A,7.581079872958225
CES3,7.581079872956127
NLGN2,7.581079872945486
NLGN1,7.5810798729443265
TG,7.581079872942326
CES2,7.581079872923369
ABCD3,7.009687103078938
LONRF1,6.729312319624394
LONRF2,6.72931231956338
LONRF3,6.729312319554687
AGPAT3,6.699931686300937
AGPAT4,6.699931686260693
GFPT2,6.583783197242193
AWAT2,6.509618159229875
MOGAT3,6.509618159219389
AWAT1,6.509618159217193
DGAT2,6.509618159192314
DGAT2L6,6.5096181591871725
MOGAT1,6.509618159183536
MOGAT2,6.509618159158024
SLC16A1,6.402050350986652
SLC16A10,6.402050350984989
SLC16A9,6.402050350972213
SLC16A7,6.402050350958636
SLC16A4,6.402050350932345
SLC16A11,6.4020503509293345
SLC16A8,6.402050350922738
SLC16A5,6.402050350920993
SLC16A13,6.402050350919383
SLC16A14,6.402050350910797
SLC16A6,6.4020503509050615
SLC16A3,6.402050350896549
SLC16A12,6.402050350895094
SLC16A2,6.402050350888439
ACOX2,6.388477264944776
ABHD4,6.3865652171252085
ABHD5,6.386565217101943
GCLC,6.376325515313031
TTPAL,6.343772047793413
DHRS11,5.968520245906082
DHRSX,5.960570652346123
GSTO2,5.95548730824621
CLIC2,5.95548730824217
GDAP1L1,5.95548730822812
CLIC1,5.955487308225344
GSTO1,5.9554873082153845
CLIC5,5.955487308214287
GSTT4,5.955487308213613
GSTT2B,5.955487308206279
GSTT2,5.955487308202594
GDAP1,5.955487308192936
CLIC3,5.955487308192875
CLIC4,5.955487308185326
TMEM135,5.88292074119445
PC,5.733986248588146
HACD2,5.666894406161421
HACD1,5.666894406139327
HMGCS1,5.624789412841643
HMGCS2,5.6247894128382825
CLIC6,5.555935680381911
PLIN1,5.485733700159651
PLIN3,5.4857337001377475
PLIN4,5.485733700123909
PLIN5,5.4857337001128466
PLIN2,5.485733700097216
ABHD6,5.453086800558401
IPO5,5.363590404058406
RANBP6,5.363590404034065
SPDEF,5.358217126962318
DNLZ,5.325487723343144
MAT1A,5.0585593413406125
MAT2A,5.058559341339499
SERHL2,5.0394953406027305
MEST,5.039495340591183
ABHD8,5.039495340588554
EPHX3,5.039495340567158
ABHD14A,5.039495340552242
EPHX2,5.03949534054296
ABHD14B,5.039495340524234
EPHX4,5.039495340509296
ABCC5,5.035363197760156
CFTR,5.0353631977549655
ABCC6,5.035363197752398
ABCC12,5.035363197745849
ABCC8,5.035363197740924
ABCC3,5.035363197738895
ABCC2,5.0353631977262525
ABCC10,5.035363197718545
ABCC4,5.035363197698539
ABCC1,5.03536319768581
ABCC9,5.03536319768255
ABCC11,5.035363197669468
LTV1,5.017158232003563
TMLHE,5.0159243977122046
GTPBP4,5.000288188172174
STK17B,4.9846389941852935
STK17A,4.984638994171029
ABCA10,4.969374664379414
ABCA6,4.969374664374528
ABCA8,4.969374664364128
ABCA13,4.969374664360458
ABCA12,4.969374664357966
ABCA7,4.969374664346239
ABCA3,4.969374664326891
ABCA9,4.969374664326193
ABCA4,4.969374664318932
ABCA2,4.969374664294663
SPR,4.943981574653288
C2CD2,4.915558000387573
C2CD2L,4.915558000346656
STIM2,4.863810237671342
STIM1,4.8638102376645715
AKR1B15,4.8362123193953055
RPS6KA4,4.801810454592875
RPS6KB1,4.801810454574959
RPS6KA6,4.801810454567852
RPS6KA2,4.801810454553294
RPS6KA1,4.801810454552731
RPS6KB2,4.8018104545395
