name,stat
THBS2,7.073943403255654
GPRC5C,7.069270879905244
BNIPL,6.914357830830173
OCM2,6.838415318256192
OCM,6.838415318256192
TRPM4,6.82598159637242
CDCP1,6.742606813164193
PKHD1L1,6.728602829679301
PAQR6,6.673361358812438
SERPINB8,6.585359740841857
ATP8B1,6.531188178706627
KIT,6.511301149354418
ARHGAP17,6.464960566609342
STAT6,6.46050328316436
ERBB2,6.405533939148251
B3GALNT1,6.38775899117694
B3GNT6,6.38775899117694
B3GALT5,6.38775899117694
CD109,6.370851488809099
NFE2L2,6.368579096369609
ITGA2,6.327108707496139
WWTR1,6.3153032298488645
ARID3C,6.274085302196543
CLDN23,6.270102585290554
SWAP70,6.254697829305668
CBLN3,6.249543718116621
ANKK1,6.230227867104121
PAPLN,6.221926390262359
CAPN5,6.207758655765455
USP53,6.154312418012379
FLNA,6.149366418802353
SH3D21,6.115199666795533
DOCK5,6.114677830918555
NFKB1,6.073547036468534
OCLN,6.061476538627485
SEC14L1,6.029851937067038
SLC44A2,6.011600848482483
LATS2,6.002999809021544
CLDN7,5.981716723236718
WASF2,5.979613320415132
SEC24D,5.973586793524183
PPP1R13L,5.948062101321855
EPAS1,5.928441558561066
ITGB3,5.914228727369505
TTC39A,5.882713106519372
CAPN9,5.87119000181281
COL12A1,5.860989582778587
TMBIM1,5.860131155908615
COL15A1,5.843193951198208
SLC7A1,5.8339283241402535
KCNJ1,5.822450678396044
C5orf15,5.81102681043702
GRHL1,5.797299389688251
SPRYD3,5.7724652658234925
VCAN,5.741186677925544
CELSR1,5.729885772208351
CRYBG1,5.724398515981934
PLD3,5.710083146264914
FREM1,5.687848319228588
CAPRIN1,5.682426728153538
TPP1,5.67016301106841
CTNNA1,5.668417094840202
PTX3,5.655640022557568
MIDEAS,5.653852030130693
MYH9,5.632284674243402
CNKSR1,5.623424439091371
CLINT1,5.612250939598081
ANXA1,5.610752700271858
MYPN,5.604871432483833
RAG1,5.601264940970427
LZTS2,5.58958836833989
B4GALT1,5.585394835908403
ADCY9,5.580878192703347
TMPRSS11D,5.576094484568916
TMPRSS11B,5.576094484568916
TMPRSS11A,5.576094484568916
TMPRSS11F,5.576094484568916
PRSS22,5.576094484568916
TMPRSS11E,5.576094484568916
GFPT1,5.566686023924154
WBP1L,5.554390314808083
GBGT1,5.539305321013639
CSF1R,5.539109629269654
SHROOM1,5.53213643930021
SCN4B,5.529162204606538
SEMA3B,5.527845138285534
KLK15,5.526756120889092
PRSS48,5.526756120889092
PRSS33,5.526756120889092
KDF1,5.525551892897356
SNTA1,5.51773763633122
B3GNT8,5.480216985999347
PARD3,5.4706405927713
TGM1,5.439881799232217
CPT1C,5.42413642683078
MYLK4,5.419651018729023
PEAK1,5.419407492442024
TRPV6,5.381362484665829
COL4A2,5.37771276053027
VCL,5.35669553278272
DLG5,5.346198486699256
GNA15,5.330371618800031
GNA11,5.330371618800031
GNAT3,5.330371618800031
CSDE1,5.328582264302383
EZR,5.318267661590129
MCTP2,5.316832933805464
PPL,5.316177736499014
CAST,5.31613135565583
TNFRSF10C,5.315810631057548
CD27,5.315810631057548
TNFRSF1B,5.315810631057548
TNFRSF11A,5.315810631057548
TNFRSF18,5.315810631057548
LTBR,5.315810631057548
TNFRSF10A,5.315810631057548
TNFRSF4,5.315810631057548
TNFRSF14,5.315810631057548
TNFRSF10D,5.315810631057548
TNFRSF8,5.315810631057548
TNFRSF10B,5.315810631057548
TNFRSF25,5.315810631057548
SERINC2,5.30477449314702
FAM83H,5.303663934959132
ARSF,5.297030279583426
ARSL,5.297030279583426
VSIR,5.28964606860847
MUC15,5.28964606860847
LIMD1,5.287252631421426
ATP1A1,5.28158015913766
LAMA3,5.278316520862645
SLC2A1,5.27385294638465
NKD2,5.261622961796393
GJB4,5.257120428916101
GJB5,5.257120428916101
TPM3,5.252664602285964
OBSCN,5.249897674664696
TRIM16,5.248066946715791
ZBTB7B,5.245690054584212
DSP,5.240336622821078
NFATC2,5.239676618560959
PCTP,5.239117481560598
ERBB3,5.232203823940978
PHLDB2,5.226722311100688
IL23R,5.221199517066829
OSMR,5.221199517066829
IL3RA,5.221199517066829
CRLF2,5.221199517066829
IL2RG,5.221199517066829
IL27RA,5.221199517066829
IL12RB1,5.221199517066829
IL6R,5.221199517066829
ACO1,5.220466769352529
SLC4A4,5.20773391152547
SH3GL1,5.20371085269842
CDC42BPA,5.194924852021829
SPINT4,5.185541450577506
SPINT1,5.185541450577506
LRP11,5.185541450577506
WFDC8,5.185541450577506
WFDC6,5.185541450577506
EPPIN,5.185541450577506
CTSK,5.1813379303788585
SFRP2,5.174518016805544
GRHL2,5.169752956100836
GCM2,5.168879467891638
