Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Regulation of Glucose Metabolic Process (GO:0010906),GO_Biological_Process_2025,1.0339910222464233,Upregulated,0.5401581217092036,5/22,9.98%
Interleukin-37 Signaling R-HSA-9008059,Reactome_2022,1.0330934754436198,Upregulated,0.5417259232779845,10/15,32.79%
Positive Regulation of Axon Extension (GO:0045773),GO_Biological_Process_2025,1.032988856757873,Upregulated,0.5417210213541234,5/17,13.54%
Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058),GO_Biological_Process_2025,1.0328915534354624,Upregulated,0.5416894920094657,10/43,21.96%
Polyubiquitin Modification-Dependent Protein Binding (GO:0031593),GO_Molecular_Function_2025,1.0327788301453795,Upregulated,0.5417045738552223,18/47,31.86%
Neuron Apoptotic Process (GO:0051402),GO_Biological_Process_2025,1.0326359492720132,Upregulated,0.541768168634309,4/18,13.50%
Non Small Cell Lung Cancer WP4255,WikiPathways_2024_Human,1.0325490966088475,Upregulated,0.5417198373724091,21/61,24.25%
Regulation of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),GO_Biological_Process_2025,1.0315284391226864,Upregulated,0.543544538430403,31/98,25.97%
Chromosomal And Microsatellite Instability In Colorectal Cancer WP4216,WikiPathways_2024_Human,1.0313978305662108,Upregulated,0.5435924838361478,21/67,21.18%
Negative Regulation of Viral Process (GO:0048525),GO_Biological_Process_2025,1.0313579496380674,Upregulated,0.5434704305266994,15/38,25.38%
Degradation Of GLI2 By Proteasome R-HSA-5610783,Reactome_2022,1.031339081187381,Upregulated,0.5432910602372194,31/56,43.22%
Regulation of Protein Modification by Small Protein Conjugation or Removal (GO:1903320),GO_Biological_Process_2025,1.0310085803388116,Upregulated,0.5437212591454391,4/20,16.15%
Negative Regulation of Translational Initiation (GO:0045947),GO_Biological_Process_2025,1.0309673025294963,Upregulated,0.5435879813498943,10/15,37.59%
Alpha-Tubulin Binding (GO:0043014),GO_Molecular_Function_2025,1.0308249082922385,Upregulated,0.543649859653506,9/30,21.43%
Retinoid Metabolism And Transport R-HSA-975634,Reactome_2022,1.029033325673397,Upregulated,0.5470617579061652,13/37,22.24%
Eye Development (GO:0001654),GO_Biological_Process_2025,1.0285732287274498,Upregulated,0.5477638374711001,11/49,12.21%
Signaling By FGFR1 R-HSA-5654736,Reactome_2022,1.0275092915675212,Upregulated,0.5496623607246167,21/44,29.92%
MAPK Pathway In Congenital Thyroid Cancer WP4928,WikiPathways_2024_Human,1.0272439157453626,Upregulated,0.5499831188930807,6/16,24.25%
Signaling To ERKs R-HSA-187687,Reactome_2022,1.0272219276855823,Upregulated,0.5498146133904293,13/30,24.25%
