Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508,Reactome_2022,-0.9782909938273876,Downregulated,0.7289892672699639,3/21,5.08%
Regulation Of Beta-Cell Development R-HSA-186712,Reactome_2022,-0.97829980657979,Downregulated,0.7296414895192289,7/35,13.45%
Regulation Of MECP2 Expression And Activity R-HSA-9022692,Reactome_2022,-0.9788320160197688,Downregulated,0.7288137866689975,11/28,26.54%
Fanconi anemia pathway,KEGG_2021_Human,-0.9789296927475714,Downregulated,0.7292158492214588,49/49,76.36%
Calcium Channel Complex (GO:0034704),GO_Cellular_Component_2025,-0.9789722365197774,Downregulated,0.7297976123786438,17/45,22.07%
Regulation of Axonogenesis (GO:0050770),GO_Biological_Process_2025,-0.9791471059516422,Downregulated,0.7299790570856735,15/35,23.78%
Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012),GO_Biological_Process_2025,-0.9802708805427776,Downregulated,0.7276159195442818,6/17,19.76%
Effect Of Progerin On Genes Involved In Progeria WP4320,WikiPathways_2024_Human,-0.980289754402849,Downregulated,0.7282511944083144,13/21,39.53%
Negative Regulation of ERK1 and ERK2 Cascade (GO:0070373),GO_Biological_Process_2025,-0.9805037653178088,Downregulated,0.7283128739935787,11/37,17.61%
Spinocerebellar ataxia,KEGG_2021_Human,-0.9810209163541826,Downregulated,0.7275808311004621,40/133,26.12%
Negative Regulation Of MAPK Pathway R-HSA-5675221,Reactome_2022,-0.9812906436833468,Downregulated,0.727519256512588,15/33,27.50%
Ubiquitin Conjugating Enzyme Activity (GO:0061631),GO_Molecular_Function_2025,-0.9822213993516392,Downregulated,0.7255657698855751,12/26,38.71%
Negative Regulation of DNA Metabolic Process (GO:0051053),GO_Biological_Process_2025,-0.9834940237327338,Downregulated,0.7227847913364238,7/34,18.02%
Huntington disease,KEGG_2021_Human,-0.9835425190487994,Downregulated,0.7233228575397037,98/257,31.98%
Positive Regulation of Kinase Activity (GO:0033674),GO_Biological_Process_2025,-0.9846305666989932,Downregulated,0.720950449740862,8/40,10.34%
Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145),GO_Biological_Process_2025,-0.9847070631384292,Downregulated,0.7214080602115268,4/20,17.22%
T-helper Cell Differentiation (GO:0042093),GO_Biological_Process_2025,-0.985285629465594,Downregulated,0.7204734718445341,5/17,17.14%
Activation Of BH3-only Proteins R-HSA-114452,Reactome_2022,-0.9880024406638424,Downregulated,0.7135833659998921,14/25,26.08%
Base Excision Repair R-HSA-73884,Reactome_2022,-0.9882347769612568,Downregulated,0.7136131553500961,20/46,34.56%
Positive Regulation of Lymphocyte Differentiation (GO:0045621),GO_Biological_Process_2025,-0.989057428029242,Downregulated,0.7120672809768254,15/36,22.95%
Amino Acid:Sodium Symporter Activity (GO:0005283),GO_Molecular_Function_2025,-0.9893058332069288,Downregulated,0.7120863736642102,4/15,15.11%
Four-Way Junction DNA Binding (GO:0000400),GO_Molecular_Function_2025,-0.9898185943059256,Downregulated,0.711300761389223,5/16,30.77%
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome_2022,-0.9906900087387004,Downregulated,0.7094925411698442,10/31,27.66%
DNA-templated Transcription Termination (GO:0006353),GO_Biological_Process_2025,-0.991396559556047,Downregulated,0.708232099908355,6/18,24.20%
Translation Factors WP107,WikiPathways_2024_Human,-0.991565144576457,Downregulated,0.7084215549045685,23/46,36.22%
Ventricular Septum Development (GO:0003281),GO_Biological_Process_2025,-0.9924668309613937,Downregulated,0.7065352228620667,8/36,8.06%
Postreplication Repair (GO:0006301),GO_Biological_Process_2025,-0.992941630312587,Downregulated,0.7058886102633968,10/20,38.71%
Gamma-Tubulin Binding (GO:0043015),GO_Molecular_Function_2025,-0.9930621283957658,Downregulated,0.7062301757860877,8/21,28.11%
tRNA Wobble Base Modification (GO:0002097),GO_Biological_Process_2025,-0.993348914540884,Downregulated,0.7061124174849216,15/15,67.10%
Chromosome (GO:0005694),GO_Cellular_Component_2025,-0.9959191113721834,Downregulated,0.6997421721679496,37/142,27.11%
COPII-mediated Vesicle Transport R-HSA-204005,Reactome_2022,-0.995937829525954,Downregulated,0.7003544099547092,10/53,15.77%
