name,stat
THBS2,10.099769766938447
TGM1,9.755725134951389
PKHD1L1,9.130172898641774
TRPM4,9.073509292432542
STAT6,8.830888861757565
ARHGAP17,8.787689442778621
ATP8B1,8.786519731162548
TRIP10,8.704187251625989
SH3PXD2A,8.53708398116105
FREM1,8.52344955111497
PHLDB2,8.451894991012058
SERPINB8,8.434215220842974
BNIPL,8.395090119675325
ITGA2,8.36128802744544
ADAMTS12,8.359373585446795
ARID3C,8.330877016750303
OCM,8.289951232766137
OCM2,8.289951232766137
ERBB2,8.258771567008083
ANXA1,8.191525570718127
MMP2,8.176890450871207
CLDN7,8.170343543362549
CLINT1,8.14200239005357
B3GNT6,8.131629907304191
SLC7A1,8.125567484729679
B3GALNT1,8.11910004631394
B3GALT5,8.11910004631394
SFRP2,8.117603462265896
GRHL2,8.11226389998644
LATS2,8.094914897154316
ANKK1,8.088834333950256
WWTR1,8.088015163426435
IQGAP1,8.058433291115977
TMBIM1,8.04304838349603
MYLK4,8.035421903090691
KIT,8.032214956690895
NBEAL2,8.030508505421022
CAPN9,8.012811730430313
GPRC5C,8.003095345069399
NKD2,7.995891757875952
FAM83G,7.978692550213936
SH3D21,7.974811524460842
PXDN,7.959267624785481
TTC39A,7.941082764910535
OCLN,7.908235177385493
CSPG4,7.856413406927937
COL6A6,7.841346811489766
CRYBG1,7.8158591076941635
PTX3,7.78702196139885
STK38,7.759719762258277
CAPN5,7.752624070507463
POU2F3,7.731544954665527
LTBP1,7.696375116564678
SWAP70,7.683718817746437
ITGB1,7.68027185241509
TP63,7.597372244784402
PPP1R13L,7.588925067339442
COL15A1,7.58402051194698
CLDN23,7.551338338847969
OLFML2B,7.507041730285328
PLA2G4A,7.50373947535031
LAMA3,7.501190611232949
NFKB1,7.497782607331614
PDLIM3,7.489054111314514
MALT1,7.475495200926072
SHROOM1,7.473438733748868
EMILIN1,7.462493371447054
EMILIN3,7.461798942725348
LIMD1,7.44019695066993
MXRA5,7.4309442623521855
POSTN,7.422716701422395
NFE2L2,7.417631976243326
ITGB3,7.3865780075927665
DOCK5,7.334520541878134
MMP11,7.316887961426382
GNA11,7.296632995566147
GNA15,7.296632995566147
GNAT3,7.296632995566147
TMED3,7.2787496465908
COL10A1,7.268833887300456
MYO9B,7.263952238846245
KCNJ1,7.25624536628484
CD109,7.253739995012114
SCN4B,7.251205792387937
VPS37B,7.250939458875568
FBN3,7.250765532125278
VCAN,7.238459897930348
TMPRSS11D,7.23610417058212
TMPRSS11B,7.23610417058212
TMPRSS11A,7.23610417058212
PRSS22,7.23610417058212
TMPRSS11E,7.23610417058212
TMPRSS11F,7.23610417058212
GFPT1,7.234068163657216
HSPA12B,7.23315080686756
EMILIN2,7.197523771026412
ITGA3,7.187114658406511
CDH26,7.178121953910831
PAPLN,7.177237182069013
SVOPL,7.172958629170128
DLG5,7.1715248387700905
GRHL1,7.167667583756387
CELSR1,7.156711998145996
SNTA1,7.147345037456861
SIX5,7.1353611108031805
CPT1C,7.120709236400899
GRHL3,7.120548465565018
CPZ,7.087388198149067
MYO5C,7.084342860829072
USP53,7.082522930840823
GAN,7.081612355302944
ARFIP1,7.067759648101669
MYOF,7.044731693740154
CAPG,7.042874863402722
ARSL,7.0340401506094565
ARSF,7.0340401506094565
SFRP1,7.022340107091389
