Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
cis-Golgi Network (GO:0005801),GO_Cellular_Component_2025,1.8677167534560075,Upregulated,0.0607240813085097,14/57,10.04%
Positive Regulation of Cellular Response to Transforming Growth Factor Beta Stimulus (GO:1903846),GO_Biological_Process_2025,1.8647110208036772,Upregulated,0.060587014156436,7/23,13.75%
Positive Regulation of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030511),GO_Biological_Process_2025,1.8647110208036772,Upregulated,0.060587014156436,7/23,13.75%
COPI-coated Vesicle Membrane (GO:0030663),GO_Cellular_Component_2025,1.8593011442648044,Upregulated,0.0625470997904148,8/15,12.83%
Striated Muscle Contraction R-HSA-390522,Reactome_2022,1.8590867680169287,Upregulated,0.0614221371984277,13/29,12.26%
NADH Dehydrogenase Complex Assembly (GO:0010257),GO_Biological_Process_2025,1.8521215398328248,Upregulated,0.0632913802706491,12/33,12.37%
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),GO_Biological_Process_2025,1.8521215398328248,Upregulated,0.0632913802706491,12/33,12.37%
Energy Derivation by Oxidation of Organic Compounds (GO:0015980),GO_Biological_Process_2025,1.85131858004614,Upregulated,0.0623318915008585,13/38,11.69%
Response to Unfolded Protein (GO:0006986),GO_Biological_Process_2025,1.8432555058324047,Upregulated,0.0666579396191839,22/40,26.26%
Parkinson disease,KEGG_2021_Human,1.831620095621067,Upregulated,0.0734065985157997,64/221,17.11%
Defective B3GAT3 Causes JDSSDHD R-HSA-3560801,Reactome_2022,1.829483966200375,Upregulated,0.0734817733312789,9/19,11.82%
Ventricular Septum Morphogenesis (GO:0060412),GO_Biological_Process_2025,1.827462419558876,Upregulated,0.0739124549301485,14/28,16.25%
XBP1(S) Activates Chaperone Genes R-HSA-381038,Reactome_2022,1.8251395304999325,Upregulated,0.0741076149716269,17/45,14.15%
Epithelium Development (GO:0060429),GO_Biological_Process_2025,1.822796010366098,Upregulated,0.0747996517807398,64/119,32.97%
Mitochondrial Inner Membrane (GO:0005743),GO_Cellular_Component_2025,1.820345292941436,Upregulated,0.0751421160508757,104/385,17.41%
Respiratory Tube Development (GO:0030323),GO_Biological_Process_2025,1.8167861388281688,Upregulated,0.0765152127995224,5/25,9.36%
Cardiac Muscle Tissue Development (GO:0048738),GO_Biological_Process_2025,1.8078637983862929,Upregulated,0.0825147291848283,22/46,18.51%
Myofibril (GO:0030016),GO_Cellular_Component_2025,1.8006193350080335,Upregulated,0.0870109780478444,11/26,12.07%
Cell-Substrate Junction Assembly (GO:0007044),GO_Biological_Process_2025,1.7975935023484084,Upregulated,0.0881880522048521,11/29,9.89%
Positive Regulation of ERAD Pathway (GO:1904294),GO_Biological_Process_2025,1.7934862429394631,Upregulated,0.0902373310364881,9/15,27.85%
Fluid Transport (GO:0042044),GO_Biological_Process_2025,1.7804282161769298,Upregulated,0.1012684020516252,9/17,22.00%
Vesicle Coat (GO:0030120),GO_Cellular_Component_2025,1.7780047250010147,Upregulated,0.1022179132843756,12/37,13.55%
Response to Endoplasmic Reticulum Stress (GO:0034976),GO_Biological_Process_2025,1.7721173609226193,Upregulated,0.1067473019515081,71/187,22.45%
Actomyosin Structure Organization (GO:0031032),GO_Biological_Process_2025,1.769747640310988,Upregulated,0.1075239541461023,25/81,15.63%
Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,Reactome_2022,1.767269365917001,Upregulated,0.1086985483508652,17/35,27.16%
Endoplasmic Reticulum Lumen (GO:0005788),GO_Cellular_Component_2025,1.7589693563831832,Upregulated,0.1157187838432869,84/252,20.96%
